rmse,rmsermse,missing_rate,Dataset,total_missing_percentage,model_accuracy,Method,max_unique_values,% Correlation,total_missing_count,class_imbalance,% categorical feature,min_cardinality,kurtosis,rows_with_missing,avg_cardinality,data_distribution_pvalue,mae,max_missing_per_feature,missing_mechanism,distribution_similarity,mean_abs_correlation,mean_absolute_error,categorical_ratio,missing_rate_actual,avg_missing_per_feature,avg_unique_values,dataset_name,mean_numeric_value,skewness,% cells with missing,correlation_preservation,outlier_ratio,n_samples,num_categorical,Technique Name,precision,min_missing_per_feature,accuracy,n_features,min_unique_values,% continuous feature,r2_score,max_cardinality,% missing diff from expected,std_numeric_value,missing_cols_frac,mean_squared_error,is_categorical_target,num_numeric,model_f1
1.7166016752512536,0.5362835071116768,0.1,Balance Scale,9.76,0.808,impute_autoencoder,5.0,0.0200858891760352,244,1.0,0.0,5.0,-1.2974814825528354,0.3392,5.0,1.8566578325762453e-14,1.3729508196721312,76,MCAR,0.97648,0.0193770257786611,0.134,0.0,0.1035132343788208,61.0,5.0,Balance Scale,3.0208088636585555,-0.0202733467556804,0.0976,0.1850880071481793,0.0,625,0,impute_autoencoder,0.7336,45,0.221311475409836,4,5.0,1.0,0.8562000000000001,5.0,0.0023999999999999,1.4124722689245464,1.0,0.2875999999999999,1,4,0.7844347826086956
1.50409277704775,0.4698936049788292,0.1,Balance Scale,9.76,0.792,impute_fuzzy_kmeans,5.0,0.0200858891760352,244,1.0,0.0,5.0,-1.2974814825528354,0.3392,5.0,1.8566578325762453e-14,1.278688524590164,76,MCAR,0.97472,0.0193770257786611,0.1248,0.0,0.1035132343788208,61.0,5.0,Balance Scale,3.0208088636585555,-0.0202733467556804,0.0976,0.0785181441227983,0.0,625,0,impute_fuzzy_kmeans,0.7571705069124423,45,0.180327868852459,4,5.0,1.0,0.8896,5.0,0.0023999999999999,1.4124722689245464,1.0,0.2208,1,4,0.7682317832826306
3.148640091568026,0.983666610188635,0.1,Balance Scale,9.76,0.768,Constant,5.0,0.0200858891760352,244,1.0,0.0,5.0,-1.2974814825528354,0.3392,5.0,1.8566578325762453e-14,2.807377049180328,76,MCAR,0.9674666666666668,0.0193770257786611,0.274,0.0,0.1035132343788208,61.0,5.0,Balance Scale,3.0208088636585555,-0.0202733467556804,0.0976,0.117443122598027,0.0,625,0,Constant,0.7741305918310641,45,0.0,4,5.0,1.0,0.5162,5.0,0.0023999999999999,1.4124722689245464,1.0,0.9676,1,4,0.7449075532225138
1.989727718418433,0.6216108107168021,0.1,Balance Scale,9.76,0.68,impute_random_sampling,5.0,0.0200858891760352,244,1.0,0.0,5.0,-1.2974814825528354,0.3392,5.0,1.8566578325762453e-14,1.598360655737705,76,MCAR,0.9928,0.0193770257786611,0.156,0.0,0.1035132343788208,61.0,5.0,Balance Scale,3.0208088636585555,-0.0202733467556804,0.0976,0.0705205552545181,0.0,625,0,impute_random_sampling,0.6982432352066608,45,0.1844262295081967,4,5.0,1.0,0.8068,5.0,0.0023999999999999,1.4124722689245464,1.0,0.3863999999999999,1,4,0.6616680017801514
2.204689487820205,0.6887670143089026,0.1,Balance Scale,9.76,0.712,impute_hot_deck,5.0,0.0200858891760352,244,1.0,0.0,5.0,-1.2974814825528354,0.3392,5.0,1.8566578325762453e-14,1.9180327868852456,76,MCAR,0.99056,0.0193770257786611,0.1872,0.0,0.1035132343788208,61.0,5.0,Balance Scale,3.0208088636585555,-0.0202733467556804,0.0976,0.106688459570111,0.0,625,0,impute_hot_deck,0.6885771883289125,45,0.0491803278688524,4,5.0,1.0,0.7627999999999999,5.0,0.0023999999999999,1.4124722689245464,1.0,0.4744,1,4,0.6859279084826246
1.6730751112454134,0.5226853738148792,0.1,Balance Scale,9.76,0.792,impute_matrix_factorization,5.0,0.0200858891760352,244,1.0,0.0,5.0,-1.2974814825528354,0.3392,5.0,1.8566578325762453e-14,1.3565573770491803,76,MCAR,0.98,0.0193770257786611,0.1324,0.0,0.1035132343788208,61.0,5.0,Balance Scale,3.0208088636585555,-0.0202733467556804,0.0976,0.1902630934844989,0.0,625,0,impute_matrix_factorization,0.7598351233671989,45,0.1967213114754098,4,5.0,1.0,0.8634,5.0,0.0023999999999999,1.4124722689245464,1.0,0.2732,1,4,0.7714188034188034
1.4430270245916992,0.4508160540456745,0.1,Balance Scale,9.76,0.776,matrix_factorization_impute,5.0,0.0200858891760352,244,1.0,0.0,5.0,-1.2974814825528354,0.3392,5.0,1.8566578325762453e-14,1.2250090817219996,76,MCAR,0.9967646341024872,0.0193770257786611,0.1195608863760671,0.0,0.1035132343788208,61.0,5.0,Balance Scale,3.0208088636585555,-0.0202733467556804,0.0976,0.117443122598027,0.0,625,0,matrix_factorization_impute,0.8097540983606557,45,0.0,4,5.0,1.0,0.8983824427073437,5.0,0.0023999999999999,1.4124722689245464,1.0,0.2032351145853125,1,4,0.7614260429835651
3.011803795236501,0.9409175846256128,0.1,Balance Scale,9.76,0.768,ntm_impute,5.0,0.0200858891760352,244,1.0,0.0,5.0,-1.2974814825528354,0.3392,5.0,1.8566578325762453e-14,2.6526455925930232,76,MCAR,0.9967765276862118,0.0193770257786611,0.258898209837079,0.0,0.1035132343788208,61.0,5.0,Balance Scale,3.0208088636585555,-0.0202733467556804,0.0976,0.117443122598027,0.0,625,0,ntm_impute,0.745,45,0.0,4,5.0,1.0,0.5573370494711515,5.0,0.0023999999999999,1.4124722689245464,1.0,0.8853259010576973,1,4,0.7467636363636363
1.4430270245916992,0.4508160540456745,0.1,Balance Scale,9.76,0.776,impute_quantum,5.0,0.0200858891760352,244,1.0,0.0,5.0,-1.2974814825528354,0.3392,5.0,1.8566578325762453e-14,1.2250090817219996,76,MCAR,0.9967646341024872,0.0193770257786611,0.1195608863760671,0.0,0.1035132343788208,61.0,5.0,Balance Scale,3.0208088636585555,-0.0202733467556804,0.0976,0.117443122598027,0.0,625,0,impute_quantum,0.8097540983606557,45,0.0,4,5.0,1.0,0.8983824427073437,5.0,0.0023999999999999,1.4124722689245464,1.0,0.2032351145853125,1,4,0.7614260429835651
1.4428403243664734,0.4507577270307319,0.1,Balance Scale,9.76,0.808,quantum_impute,5.0,0.0200858891760352,244,1.0,0.0,5.0,-1.2974814825528354,0.3392,5.0,1.8566578325762453e-14,1.224923274103037,76,MCAR,0.9674666666666668,0.0193770257786611,0.1195525115524564,0.0,0.1035132343788208,61.0,5.0,Balance Scale,3.0208088636585555,-0.0202733467556804,0.0976,0.117443122598027,0.0,625,0,quantum_impute,0.7823306474020562,45,0.0,4,5.0,1.0,0.8984087357610441,5.0,0.0023999999999999,1.4124722689245464,1.0,0.2031825284779118,1,4,0.7835594202898551
